"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","5637","bank_probe","127.0.0.1","probe_stride1(float *)","1","7","(256, 1, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","7,392"
"0","5637","bank_probe","127.0.0.1","probe_stride1(float *)","1","7","(256, 1, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"0","5637","bank_probe","127.0.0.1","probe_stride1(float *)","1","7","(256, 1, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum","","196,608"
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","5674","bank_probe","127.0.0.1","probe_stride32(float *)","1","7","(256, 1, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","72,640"
"0","5674","bank_probe","127.0.0.1","probe_stride32(float *)","1","7","(256, 1, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","6,094,848"
"0","5674","bank_probe","127.0.0.1","probe_stride32(float *)","1","7","(256, 1, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum","","6,291,456"
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","5711","bank_probe","127.0.0.1","probe_stride33(float *)","1","7","(256, 1, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","9,280"
"0","5711","bank_probe","127.0.0.1","probe_stride33(float *)","1","7","(256, 1, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"0","5711","bank_probe","127.0.0.1","probe_stride33(float *)","1","7","(256, 1, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum","","196,608"
