"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","4705","reduce_ladder","127.0.0.1","red_v0(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","2.98"
"0","4705","reduce_ladder","127.0.0.1","red_v0(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","104,313,248"
"0","4705","reduce_ladder","127.0.0.1","red_v0(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","4"
"0","4705","reduce_ladder","127.0.0.1","red_v0(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","","2,097,152"
"0","4705","reduce_ladder","127.0.0.1","red_v0(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","lts__t_sectors.sum","sector","75,685,621"
"0","4705","reduce_ladder","127.0.0.1","red_v0(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","78.88"
"0","4705","reduce_ladder","127.0.0.1","red_v0(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","smsp__inst_executed.sum","inst","35,651,584"
"0","4751","reduce_ladder","127.0.0.1","red_v1(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","66.17"
"0","4751","reduce_ladder","127.0.0.1","red_v1(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1,682,464"
"0","4751","reduce_ladder","127.0.0.1","red_v1(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","4"
"0","4751","reduce_ladder","127.0.0.1","red_v1(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","","2,097,152"
"0","4751","reduce_ladder","127.0.0.1","red_v1(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","lts__t_sectors.sum","sector","8,655,091"
"0","4751","reduce_ladder","127.0.0.1","red_v1(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","86.91"
"0","4751","reduce_ladder","127.0.0.1","red_v1(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","smsp__inst_executed.sum","inst","236,716,032"
"0","4796","reduce_ladder","127.0.0.1","red_v2(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","23.97"
"0","4796","reduce_ladder","127.0.0.1","red_v2(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1,704,416"
"0","4796","reduce_ladder","127.0.0.1","red_v2(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","4"
"0","4796","reduce_ladder","127.0.0.1","red_v2(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","","2,097,152"
"0","4796","reduce_ladder","127.0.0.1","red_v2(const float *, float *, unsigned long)","1","7","(256, 1, 1)","(262144, 1, 1)","0","12.1","Command line profiler metrics","lts__t_sectors.sum","sector","8,655,011"
