% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 46.95    0.124320        8880        14           poll
 41.57    0.110083          60      1809      1148 ioctl
  5.18    0.013719           1     11418         2 lstat
  1.93    0.005102           0      5897       651 stat
  1.02    0.002711           1      2588           read
  0.71    0.001877           0      2352       879 openat
  0.63    0.001660           0      2275           fstat
  0.49    0.001286           1       959           mmap
  0.20    0.000538           0      1470           close
  0.20    0.000519           0       559           munmap
  0.18    0.000469           1       394           getdents64
  0.16    0.000436           0      2276         3 lseek
  0.15    0.000407           0      1065           brk
  0.10    0.000258           7        34           clone3
  0.09    0.000249           3        82           futex
  0.08    0.000213           1       121           mprotect
  0.07    0.000178           0       464       175 newfstatat
  0.06    0.000164           1       106           rt_sigprocmask
  0.03    0.000091           2        37           rseq
  0.03    0.000081           2        37           set_robust_list
  0.03    0.000077           2        34           sched_setaffinity
  0.02    0.000051           0        61           fcntl
  0.02    0.000042           1        32           mbind
  0.01    0.000035          11         3           eventfd2
  0.01    0.000035           7         5           pipe2
  0.01    0.000028           1        26        19 readlink
  0.01    0.000025           1        22           write
  0.01    0.000016           0        33           clock_nanosleep
  0.01    0.000014           0        28           pread64
  0.00    0.000013           6         2           socket
  0.00    0.000012           1         8         7 unlink
  0.00    0.000009           0        12           getpid
  0.00    0.000009           4         2           sysinfo
  0.00    0.000008           1         5         2 access
  0.00    0.000008           8         1         1 connect
  0.00    0.000008           1         6         6 symlink
  0.00    0.000008           1         5           gettid
  0.00    0.000005           1         3         3 mkdir
  0.00    0.000005           1         5           prlimit64
  0.00    0.000005           0         7           getrandom
  0.00    0.000004           0         7           dup
  0.00    0.000004           4         1           epoll_create1
  0.00    0.000003           3         1           bind
  0.00    0.000003           0         7           uname
  0.00    0.000003           0         7           getcwd
  0.00    0.000003           0         6           sched_getaffinity
  0.00    0.000002           2         1           listen
  0.00    0.000002           2         1           setsockopt
  0.00    0.000002           0         5           sched_get_priority_max
  0.00    0.000002           0         5           sched_get_priority_min
  0.00    0.000001           0       136           rt_sigaction
  0.00    0.000001           0         3           geteuid
  0.00    0.000001           0         6         3 arch_prctl
  0.00    0.000001           0         3           set_tid_address
  0.00    0.000001           1         1           get_mempolicy
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         3           execve
  0.00    0.000000           0         1           wait4
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
------ ----------- ----------- --------- --------- -----------------------
100.00    0.264807           7     34460      2899 total
