% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 49.17    0.148183       10584        14           poll
 37.46    0.112900          62      1806      1148 ioctl
  3.72    0.011206           0     11418         2 lstat
  3.38    0.010198           0     14578           sched_yield
  1.57    0.004726           0      5897       651 stat
  1.20    0.003611           1      2588           read
  0.97    0.002911           1      2352       879 openat
  0.73    0.002205           2       959           mmap
  0.26    0.000795           0      2275           fstat
  0.24    0.000725           8        83         1 futex
  0.20    0.000610           1       394           getdents64
  0.19    0.000564           1       560           munmap
  0.17    0.000517           0      1470           close
  0.15    0.000465           0      2276         3 lseek
  0.13    0.000393           0      1040           brk
  0.12    0.000350         350         1           wait4
  0.07    0.000226           1       121           mprotect
  0.06    0.000187           0       464       175 newfstatat
  0.05    0.000162           4        34           clone3
  0.03    0.000080           0       106           rt_sigprocmask
  0.02    0.000050          16         3           execve
  0.02    0.000046           0        61           fcntl
  0.01    0.000043           1        22           write
  0.01    0.000039           1        37           set_robust_list
  0.01    0.000038           1        37           rseq
  0.01    0.000023           0        28           pread64
  0.00    0.000010           0       136           rt_sigaction
  0.00    0.000010           0        34           sched_setaffinity
  0.00    0.000010           0        32           mbind
  0.00    0.000009           0        26        19 readlink
  0.00    0.000008           4         2           socket
  0.00    0.000008           2         3           eventfd2
  0.00    0.000007           1         7           dup
  0.00    0.000007           0        12           getpid
  0.00    0.000006           1         5           gettid
  0.00    0.000006           1         5           pipe2
  0.00    0.000005           2         2           sysinfo
  0.00    0.000004           1         3         3 mkdir
  0.00    0.000004           0         6         3 arch_prctl
  0.00    0.000004           0        33           clock_nanosleep
  0.00    0.000004           0         7           getrandom
  0.00    0.000003           3         1           bind
  0.00    0.000003           0         7           uname
  0.00    0.000003           0         5           prlimit64
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         8         7 unlink
  0.00    0.000002           0         5           sched_get_priority_max
  0.00    0.000002           0         6           sched_getaffinity
  0.00    0.000002           0         3           set_tid_address
  0.00    0.000001           0         5         2 access
  0.00    0.000001           0         6         6 symlink
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1         1 connect
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         7           getcwd
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         3           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         5           sched_get_priority_min
  0.00    0.000000           0         1           get_mempolicy
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- -----------------------
100.00    0.301376           6     49012      2900 total
