% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 47.18    0.203073       16922        12           poll
 46.07    0.198285         126      1572      1148 ioctl
  2.08    0.008953           0     11418         2 lstat
  1.08    0.004650           1      2589           read
  0.92    0.003953           0      5897       651 stat
  0.60    0.002591          31        83         1 futex
  0.48    0.002061           0      2352       879 openat
  0.38    0.001629           0      2275           fstat
  0.31    0.001343           3       394           getdents64
  0.28    0.001226           1       959           mmap
  0.11    0.000469           0      1470           close
  0.11    0.000459           0      1021           brk
  0.09    0.000386           0       561           munmap
  0.09    0.000381           0      2276         3 lseek
  0.07    0.000317           0       464       175 newfstatat
  0.04    0.000187           1       121           mprotect
  0.02    0.000074           2        34           clone3
  0.01    0.000045           0        61           fcntl
  0.01    0.000042           1        26        19 readlink
  0.01    0.000027           0        28           pread64
  0.01    0.000026           8         3           eventfd2
  0.01    0.000024           4         5           gettid
  0.01    0.000024           0        34           sched_setaffinity
  0.01    0.000023           1        22           write
  0.00    0.000021           0        37           rseq
  0.00    0.000017           0       106           rt_sigprocmask
  0.00    0.000009           0        33           clock_nanosleep
  0.00    0.000008           0        12           getpid
  0.00    0.000008           0        37           set_robust_list
  0.00    0.000008           1         5           pipe2
  0.00    0.000007           1         7           dup
  0.00    0.000007           3         2           socket
  0.00    0.000005           0         7           getcwd
  0.00    0.000005           2         2           sysinfo
  0.00    0.000004           4         1           bind
  0.00    0.000004           1         3         3 mkdir
  0.00    0.000004           4         1           epoll_create1
  0.00    0.000003           0         5         2 access
  0.00    0.000003           0         7           uname
  0.00    0.000003           0         5           sched_get_priority_max
  0.00    0.000003           0         7           getrandom
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         8         7 unlink
  0.00    0.000002           0         5           sched_get_priority_min
  0.00    0.000002           0         6           sched_getaffinity
  0.00    0.000002           0         5           prlimit64
  0.00    0.000001           1         1           vfork
  0.00    0.000001           0         6         3 arch_prctl
  0.00    0.000001           0         3           set_tid_address
  0.00    0.000000           0         1           open
  0.00    0.000000           0       136           rt_sigaction
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1         1 connect
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         3           execve
  0.00    0.000000           0         1           wait4
  0.00    0.000000           0         6         6 symlink
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         3           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0        32           mbind
  0.00    0.000000           0         1           get_mempolicy
------ ----------- ----------- --------- --------- -----------------------
100.00    0.430380          12     34181      2900 total
