% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 45.82    0.118301        8450        14           poll
 42.75    0.110365          70      1572      1148 ioctl
  5.56    0.014356           1     11418         2 lstat
  2.26    0.005825           0      5897       651 stat
  0.64    0.001654           0      2352       879 openat
  0.64    0.001653           0      2588           read
  0.42    0.001090           2       464       175 newfstatat
  0.38    0.000979           0      1023           brk
  0.35    0.000903           0       959           mmap
  0.32    0.000814           0      2275           fstat
  0.17    0.000451           0      1470           close
  0.16    0.000408           0      2276         3 lseek
  0.14    0.000350           0       394           getdents64
  0.11    0.000278           0       559           munmap
  0.06    0.000144           1        82           futex
  0.04    0.000115           0       121           mprotect
  0.04    0.000114           3        34           sched_setaffinity
  0.03    0.000090           2        34           clone3
  0.02    0.000051           0       106           rt_sigprocmask
  0.01    0.000030           0        37           rseq
  0.01    0.000028           0        33           clock_nanosleep
  0.01    0.000027           0        37           set_robust_list
  0.01    0.000025           0        61           fcntl
  0.01    0.000014           0        22           write
  0.01    0.000014           0        32           mbind
  0.00    0.000012           0        28           pread64
  0.00    0.000008           1         5           pipe2
  0.00    0.000007           0       136           rt_sigaction
  0.00    0.000007           1         7           dup
  0.00    0.000007           3         2           socket
  0.00    0.000007           0        26        19 readlink
  0.00    0.000005           0        12           getpid
  0.00    0.000005           1         3         3 mkdir
  0.00    0.000005           2         2           sysinfo
  0.00    0.000004           0         7           getcwd
  0.00    0.000003           3         1           bind
  0.00    0.000003           0         8         7 unlink
  0.00    0.000003           0         5           sched_get_priority_max
  0.00    0.000003           0         5           prlimit64
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         7           uname
  0.00    0.000002           0         6           sched_getaffinity
  0.00    0.000002           0         7           getrandom
  0.00    0.000001           1         1           vfork
  0.00    0.000001           0         6         6 symlink
  0.00    0.000001           0         5           sched_get_priority_min
  0.00    0.000001           0         5           gettid
  0.00    0.000001           0         3           eventfd2
  0.00    0.000000           0         1           open
  0.00    0.000000           0         5         2 access
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1         1 connect
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         3           execve
  0.00    0.000000           0         1           wait4
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         3           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         6         3 arch_prctl
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0         1           get_mempolicy
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- -----------------------
100.00    0.258171           7     34181      2899 total
