% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 46.23    0.124670        9590        13           poll
 42.69    0.115141          63      1806      1148 ioctl
  4.58    0.012364           1     11418         2 lstat
  2.10    0.005669           0      5897       651 stat
  0.76    0.002058           0      2589           read
  0.69    0.001864           0      2352       879 openat
  0.62    0.001676           0      2275           fstat
  0.55    0.001470           1      1041           brk
  0.45    0.001217           1       959           mmap
  0.18    0.000488           0      1470           close
  0.18    0.000487           0       560           munmap
  0.16    0.000432           1       394           getdents64
  0.14    0.000377           0      2276         3 lseek
  0.11    0.000306         306         1           wait4
  0.08    0.000220           1       121           mprotect
  0.07    0.000193           0       464       175 newfstatat
  0.07    0.000184           2        82           futex
  0.06    0.000151           4        34           clone3
  0.04    0.000118           3        34           sched_setaffinity
  0.03    0.000073           0       106           rt_sigprocmask
  0.02    0.000047           1        37           rseq
  0.02    0.000046          15         3           execve
  0.02    0.000042           0        61           fcntl
  0.01    0.000034           1        26        19 readlink
  0.01    0.000034          11         3           eventfd2
  0.01    0.000032           1        22           write
  0.01    0.000028           5         5           gettid
  0.01    0.000027           0        37           set_robust_list
  0.01    0.000025           0        33           clock_nanosleep
  0.01    0.000024           4         5           pipe2
  0.01    0.000019           2         7           uname
  0.01    0.000018           0        28           pread64
  0.01    0.000018           0        32           mbind
  0.01    0.000016           8         2           socket
  0.01    0.000014           1         8         7 unlink
  0.00    0.000013          13         1         1 connect
  0.00    0.000010           1         6         6 symlink
  0.00    0.000009           1         5         2 access
  0.00    0.000009           0        12           getpid
  0.00    0.000006           6         1           open
  0.00    0.000006           2         3         3 mkdir
  0.00    0.000005           0       136           rt_sigaction
  0.00    0.000005           0         7           getcwd
  0.00    0.000005           2         2           sysinfo
  0.00    0.000005           0         7           getrandom
  0.00    0.000004           1         3           geteuid
  0.00    0.000003           0         7           dup
  0.00    0.000003           3         1           bind
  0.00    0.000003           3         1           setsockopt
  0.00    0.000003           0         6           sched_getaffinity
  0.00    0.000002           2         1           listen
  0.00    0.000002           2         1           get_mempolicy
  0.00    0.000002           0         5           prlimit64
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getgid
  0.00    0.000001           1         1           getegid
  0.00    0.000001           1         1           getppid
  0.00    0.000001           0         5           sched_get_priority_max
  0.00    0.000001           0         5           sched_get_priority_min
  0.00    0.000001           0         6         3 arch_prctl
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- -----------------------
100.00    0.269684           7     34434      2899 total
