% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 46.23    0.120478        9267        13           poll
 40.49    0.105514          58      1806      1148 ioctl
  5.42    0.014127           1     11418         2 lstat
  1.89    0.004931           0      5897       651 stat
  1.02    0.002649           0      6173           sched_yield
  1.00    0.002619           1      2275           fstat
  0.81    0.002103           0      2352       879 openat
  0.69    0.001786           0      2589           read
  0.52    0.001351           0      2276         3 lseek
  0.49    0.001273           1       959           mmap
  0.21    0.000547           1       394           getdents64
  0.20    0.000509           0       559           munmap
  0.19    0.000507           0      1470           close
  0.13    0.000349           0      1037           brk
  0.13    0.000326           0       464       175 newfstatat
  0.10    0.000271           7        34           clone3
  0.10    0.000262           3        82           futex
  0.09    0.000226           1       121           mprotect
  0.05    0.000135           1       106           rt_sigprocmask
  0.03    0.000088          88         1           wait4
  0.03    0.000088           2        37           set_robust_list
  0.03    0.000068           1        37           rseq
  0.02    0.000063           2        22           write
  0.02    0.000047           0        61           fcntl
  0.01    0.000035           4         8         7 unlink
  0.01    0.000033           1        32           mbind
  0.01    0.000030           6         5           pipe2
  0.01    0.000026           1        26        19 readlink
  0.01    0.000023           7         3           eventfd2
  0.01    0.000020           0        34           sched_setaffinity
  0.01    0.000019           0        28           pread64
  0.01    0.000019           9         2           socket
  0.00    0.000010          10         1         1 connect
  0.00    0.000010           1         6         6 symlink
  0.00    0.000009           0        12           getpid
  0.00    0.000007           1         5         2 access
  0.00    0.000006           0         7           getcwd
  0.00    0.000006           1         5           gettid
  0.00    0.000005           0         7           dup
  0.00    0.000005           0        33           clock_nanosleep
  0.00    0.000004           4         1           bind
  0.00    0.000004           4         1           setsockopt
  0.00    0.000004           0         7           uname
  0.00    0.000004           1         3         3 mkdir
  0.00    0.000004           2         2           sysinfo
  0.00    0.000004           0         5           sched_get_priority_max
  0.00    0.000004           0         5           sched_get_priority_min
  0.00    0.000004           0         7           getrandom
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         6           sched_getaffinity
  0.00    0.000002           2         1           get_mempolicy
  0.00    0.000002           0         5           prlimit64
  0.00    0.000001           0       136           rt_sigaction
  0.00    0.000001           0         6         3 arch_prctl
  0.00    0.000001           0         3           set_tid_address
  0.00    0.000001           1         1           epoll_create1
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         3           execve
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         3           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
------ ----------- ----------- --------- --------- -----------------------
100.00    0.260624           6     40602      2899 total
