% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 47.44    0.203279       15636        13           poll
 46.43    0.198928         110      1806      1148 ioctl
  2.03    0.008698           1      5897       651 stat
  1.65    0.007077           0     11418         2 lstat
  0.49    0.002101           0      2352       879 openat
  0.37    0.001580           0      2587           read
  0.33    0.001423           0      1470           close
  0.26    0.001121           1       959           mmap
  0.20    0.000873           0      2275           fstat
  0.14    0.000591           1       394           getdents64
  0.11    0.000464           0      2276         3 lseek
  0.10    0.000436           0      1037           brk
  0.10    0.000409         409         1           wait4
  0.07    0.000303           0       561           munmap
  0.04    0.000172           0       464       175 newfstatat
  0.04    0.000165           1       121           mprotect
  0.03    0.000135           1        82           futex
  0.03    0.000133           3        34           clone3
  0.03    0.000111           0      3216           sched_yield
  0.02    0.000090           0       106           rt_sigprocmask
  0.01    0.000048           1        37           set_robust_list
  0.01    0.000046          15         3           execve
  0.01    0.000041           1        37           rseq
  0.01    0.000040           0        61           fcntl
  0.01    0.000028           1        22           write
  0.00    0.000019           0        28           pread64
  0.00    0.000019           0        34           sched_setaffinity
  0.00    0.000017           5         3           eventfd2
  0.00    0.000014           0        26        19 readlink
  0.00    0.000011           5         2           socket
  0.00    0.000011           0        32           mbind
  0.00    0.000009           4         2           sysinfo
  0.00    0.000007           2         3         3 mkdir
  0.00    0.000006           0       136           rt_sigaction
  0.00    0.000005           0         7           dup
  0.00    0.000005           0        12           getpid
  0.00    0.000005           0         7           getcwd
  0.00    0.000004           0         7           getrandom
  0.00    0.000003           3         1           bind
  0.00    0.000003           0         7           uname
  0.00    0.000003           0         5           sched_get_priority_max
  0.00    0.000003           0         6         3 arch_prctl
  0.00    0.000003           0         5           gettid
  0.00    0.000003           0        33           clock_nanosleep
  0.00    0.000003           0         5           pipe2
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         8         7 unlink
  0.00    0.000002           0         3           geteuid
  0.00    0.000002           2         1           getppid
  0.00    0.000002           0         5           sched_get_priority_min
  0.00    0.000002           0         6           sched_getaffinity
  0.00    0.000002           0         5           prlimit64
  0.00    0.000001           0         5         2 access
  0.00    0.000001           1         1         1 connect
  0.00    0.000001           0         6         6 symlink
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getgid
  0.00    0.000001           1         1           getegid
  0.00    0.000001           0         3           set_tid_address
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         1           get_mempolicy
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- -----------------------
100.00    0.428466          11     37645      2899 total
