% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 49.77    0.151624       10830        14           poll
 37.03    0.112828          62      1806      1148 ioctl
  3.62    0.011028           0     25448           sched_yield
  2.78    0.008485           0     11418         2 lstat
  1.91    0.005810           0      5897       651 stat
  0.88    0.002688           1      2588           read
  0.75    0.002274           0      2276         3 lseek
  0.72    0.002179           0      2352       879 openat
  0.46    0.001411           1      1038           brk
  0.41    0.001256           1       959           mmap
  0.41    0.001252           2       560           munmap
  0.24    0.000727           0      2275           fstat
  0.23    0.000714         714         1           wait4
  0.19    0.000569           1       394           getdents64
  0.17    0.000507           0      1470           close
  0.11    0.000324           0       464       175 newfstatat
  0.07    0.000224          74         3           execve
  0.05    0.000167           2        82           futex
  0.05    0.000153           1       121           mprotect
  0.02    0.000052           0       136           rt_sigaction
  0.02    0.000050           0        61           fcntl
  0.01    0.000042           1        26        19 readlink
  0.01    0.000040           1        34           clone3
  0.01    0.000037           7         5           pipe2
  0.01    0.000032           1        22           write
  0.01    0.000022           0        28           pread64
  0.01    0.000016           1        12           getpid
  0.00    0.000015          15         1           vfork
  0.00    0.000013           6         2           socket
  0.00    0.000013           0        37           set_robust_list
  0.00    0.000013           0        37           rseq
  0.00    0.000012           2         5         2 access
  0.00    0.000011           1         7           uname
  0.00    0.000011           1         8         7 unlink
  0.00    0.000009           1         6         6 symlink
  0.00    0.000008           0       106           rt_sigprocmask
  0.00    0.000008           2         3           eventfd2
  0.00    0.000007           7         1         1 connect
  0.00    0.000007           1         7           getcwd
  0.00    0.000005           0         6         3 arch_prctl
  0.00    0.000004           0         7           dup
  0.00    0.000004           0         5           prlimit64
  0.00    0.000003           3         1           bind
  0.00    0.000003           3         1           setsockopt
  0.00    0.000003           1         2           sysinfo
  0.00    0.000003           0         7           getrandom
  0.00    0.000002           2         1           listen
  0.00    0.000001           1         1           getuid
  0.00    0.000001           0         3           geteuid
  0.00    0.000001           1         1           getppid
  0.00    0.000001           0         5           sched_get_priority_max
  0.00    0.000001           0         5           gettid
  0.00    0.000001           0         6           sched_getaffinity
  0.00    0.000001           1         1           get_mempolicy
  0.00    0.000001           1         1           epoll_create1
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         3         3 mkdir
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         5           sched_get_priority_min
  0.00    0.000000           0        34           sched_setaffinity
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0        33           clock_nanosleep
  0.00    0.000000           0        32           mbind
------ ----------- ----------- --------- --------- -----------------------
100.00    0.304673           5     59879      2899 total
