% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 37.08    0.129800        4992        26           poll
 32.57    0.114029          72      1572      1148 ioctl
 22.01    0.077051         856        90         4 futex
  3.30    0.011543           1     11418         2 lstat
  1.61    0.005642           0      5897       651 stat
  0.62    0.002183           0      2352       879 openat
  0.49    0.001706           0      2275           fstat
  0.47    0.001644           0      2589           read
  0.39    0.001379           1       959           mmap
  0.18    0.000632           1       559           munmap
  0.15    0.000515           0      1470           close
  0.15    0.000511         510         1           wait4
  0.13    0.000451           0      2276         3 lseek
  0.13    0.000447           0      1021           brk
  0.12    0.000423           1       394           getdents64
  0.11    0.000379           3       106           rt_sigprocmask
  0.09    0.000310           8        37           rseq
  0.09    0.000309           9        34           clone3
  0.07    0.000254           0       464       175 newfstatat
  0.06    0.000208           1       121           mprotect
  0.06    0.000197          65         3           execve
  0.03    0.000117           3        37           set_robust_list
  0.02    0.000055           0        61           fcntl
  0.01    0.000051           2        22           write
  0.01    0.000036           1        26        19 readlink
  0.01    0.000026           5         5           pipe2
  0.00    0.000017           8         2           socket
  0.00    0.000015           5         3           eventfd2
  0.00    0.000012           0       136           rt_sigaction
  0.00    0.000011           1         8         7 unlink
  0.00    0.000011           0        32           mbind
  0.00    0.000010           2         5         2 access
  0.00    0.000009           0        12           getpid
  0.00    0.000009           9         1         1 connect
  0.00    0.000009           1         7           getcwd
  0.00    0.000008           0        28           pread64
  0.00    0.000008           1         6         3 arch_prctl
  0.00    0.000008           0        34           sched_setaffinity
  0.00    0.000008           1         7           getrandom
  0.00    0.000007           1         6         6 symlink
  0.00    0.000006           0         7           dup
  0.00    0.000005           2         2           sysinfo
  0.00    0.000005           1         3           geteuid
  0.00    0.000005           1         5           gettid
  0.00    0.000005           1         5           prlimit64
  0.00    0.000004           4         1           setsockopt
  0.00    0.000004           1         3         3 mkdir
  0.00    0.000003           3         1           bind
  0.00    0.000003           3         1           listen
  0.00    0.000003           0         7           uname
  0.00    0.000003           1         3           set_tid_address
  0.00    0.000002           2         1           getgid
  0.00    0.000002           2         1           getegid
  0.00    0.000002           0        33           clock_nanosleep
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getppid
  0.00    0.000001           0         5           sched_get_priority_max
  0.00    0.000001           0         5           sched_get_priority_min
  0.00    0.000001           1         1           get_mempolicy
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         6           sched_getaffinity
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- -----------------------
100.00    0.350097          10     34200      2903 total
