% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 49.75    0.140690        8793        16           poll
 39.78    0.112498          62      1806      1148 ioctl
  3.99    0.011275           0     11418         2 lstat
  2.07    0.005847           0      5897       651 stat
  0.74    0.002098           0      2589           read
  0.51    0.001437           0      2275           fstat
  0.48    0.001357           3       394           getdents64
  0.48    0.001355           0      2352       879 openat
  0.44    0.001258           0      2276         3 lseek
  0.35    0.000994           1       959           mmap
  0.19    0.000532           5       106           rt_sigprocmask
  0.18    0.000512          15        34           sched_setaffinity
  0.17    0.000476           0      1038           brk
  0.16    0.000451           0      1470           close
  0.15    0.000417           0     12270           sched_yield
  0.14    0.000392           0       560           munmap
  0.07    0.000200           5        34           clone3
  0.07    0.000197           1       121           mprotect
  0.06    0.000176           2        82           futex
  0.05    0.000134           0       464       175 newfstatat
  0.04    0.000107           2        37           set_robust_list
  0.04    0.000100           3        33           clock_nanosleep
  0.03    0.000078           2        37           rseq
  0.02    0.000046           1        32           mbind
  0.01    0.000031           0        61           fcntl
  0.01    0.000026          26         1           open
  0.01    0.000022           1        22           write
  0.00    0.000008           0        28           pread64
  0.00    0.000008           4         2           socket
  0.00    0.000008           0        26        19 readlink
  0.00    0.000008           4         2           sysinfo
  0.00    0.000007           1         6           sched_getaffinity
  0.00    0.000006           0        12           getpid
  0.00    0.000005           0         7           dup
  0.00    0.000005           1         5           pipe2
  0.00    0.000004           1         3         3 mkdir
  0.00    0.000004           1         3           eventfd2
  0.00    0.000003           0       136           rt_sigaction
  0.00    0.000003           3         1           bind
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         7           getcwd
  0.00    0.000002           0         7           getrandom
  0.00    0.000001           0         7           uname
  0.00    0.000001           0         8         7 unlink
  0.00    0.000001           0         6         6 symlink
  0.00    0.000001           0         5           sched_get_priority_max
  0.00    0.000001           0         5           gettid
  0.00    0.000001           0         5           prlimit64
  0.00    0.000000           0         5         2 access
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1         1 connect
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         3           execve
  0.00    0.000000           0         1           wait4
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         3           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         5           sched_get_priority_min
  0.00    0.000000           0         6         3 arch_prctl
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0         1           get_mempolicy
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- -----------------------
100.00    0.282787           6     46704      2899 total
