% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 45.70    0.116662        8974        13           poll
 42.06    0.107376          59      1806      1148 ioctl
  4.79    0.012227           1     11418         2 lstat
  2.11    0.005374           0      5897       651 stat
  1.32    0.003378           1      2589           read
  1.10    0.002806           1      2352       879 openat
  0.67    0.001719           0      2275           fstat
  0.52    0.001315           0      2276         3 lseek
  0.48    0.001220           1       959           mmap
  0.23    0.000581           1       559           munmap
  0.18    0.000468           0      1470           close
  0.15    0.000394           0      1039           brk
  0.11    0.000270           0       394           getdents64
  0.11    0.000269           3        82           futex
  0.09    0.000219           1       121           mprotect
  0.07    0.000191           0       464       175 newfstatat
  0.07    0.000190           5        34           clone3
  0.03    0.000089           0       106           rt_sigprocmask
  0.02    0.000063           1        37           rseq
  0.02    0.000058           0        61           fcntl
  0.02    0.000050           1        37           set_robust_list
  0.02    0.000047           1        34           sched_setaffinity
  0.02    0.000045          45         1           vfork
  0.01    0.000033           1        32           mbind
  0.01    0.000031          10         3           eventfd2
  0.01    0.000026           5         5           pipe2
  0.01    0.000021           0        22           write
  0.01    0.000021           0        26        19 readlink
  0.01    0.000013           0        28           pread64
  0.01    0.000013           6         2           socket
  0.01    0.000013           2         6         6 symlink
  0.00    0.000011           1         8         7 unlink
  0.00    0.000010           0        12           getpid
  0.00    0.000010           0        33           clock_nanosleep
  0.00    0.000009           1         5         2 access
  0.00    0.000009           9         1           wait4
  0.00    0.000008           8         1         1 connect
  0.00    0.000007           1         5           gettid
  0.00    0.000005           1         3         3 mkdir
  0.00    0.000005           2         2           sysinfo
  0.00    0.000004           0         7           uname
  0.00    0.000004           0         5           sched_get_priority_max
  0.00    0.000003           0         7           dup
  0.00    0.000003           3         1           bind
  0.00    0.000003           3         1           setsockopt
  0.00    0.000003           0         5           sched_get_priority_min
  0.00    0.000003           0         6           sched_getaffinity
  0.00    0.000002           2         1           get_mempolicy
  0.00    0.000002           0         5           prlimit64
  0.00    0.000001           0       136           rt_sigaction
  0.00    0.000001           1         1           listen
  0.00    0.000001           0         3           geteuid
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         3           execve
  0.00    0.000000           0         7           getcwd
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         6         3 arch_prctl
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         7           getrandom
------ ----------- ----------- --------- --------- -----------------------
100.00    0.255286           7     34431      2899 total
