% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 37.16    0.113247        6661        17           poll
 33.78    0.102968          65      1575      1148 ioctl
 20.16    0.061442         690        89         3 futex
  3.01    0.009183           0     11418         2 lstat
  1.57    0.004788           0      5897       651 stat
  1.00    0.003060           1      2352       879 openat
  0.68    0.002061           2       960           mmap
  0.60    0.001817           0      2589           read
  0.31    0.000931           0      2275           fstat
  0.21    0.000626         626         1           wait4
  0.20    0.000613           0      1470           close
  0.18    0.000535           0      2276         3 lseek
  0.17    0.000526          15        34           sched_setaffinity
  0.17    0.000510           1       394           getdents64
  0.13    0.000397           0       560           munmap
  0.09    0.000277           0      1022           brk
  0.09    0.000273           2       121           mprotect
  0.09    0.000272           8        34           clone3
  0.07    0.000211           0       464       175 newfstatat
  0.07    0.000209           1       106           rt_sigprocmask
  0.05    0.000166          55         3           execve
  0.04    0.000117           3        37           rseq
  0.04    0.000115           3        37           set_robust_list
  0.03    0.000102           3        33           clock_nanosleep
  0.01    0.000045          45         1           vfork
  0.01    0.000037           0        61           fcntl
  0.01    0.000036           1        22           write
  0.01    0.000031           1        26        19 readlink
  0.01    0.000028           0        32           mbind
  0.01    0.000016           0        28           pread64
  0.00    0.000013           6         2           socket
  0.00    0.000013           2         5           pipe2
  0.00    0.000011           1         8         7 unlink
  0.00    0.000009           1         5         2 access
  0.00    0.000008           8         1         1 connect
  0.00    0.000008           1         6         6 symlink
  0.00    0.000007           0       136           rt_sigaction
  0.00    0.000006           0        12           getpid
  0.00    0.000006           0         7           uname
  0.00    0.000006           2         3           eventfd2
  0.00    0.000005           2         2           sysinfo
  0.00    0.000004           0         7           dup
  0.00    0.000004           0         7           getcwd
  0.00    0.000004           1         3         3 mkdir
  0.00    0.000004           4         1           epoll_create1
  0.00    0.000004           0         5           prlimit64
  0.00    0.000004           0         7           getrandom
  0.00    0.000003           3         1           bind
  0.00    0.000002           2         1           setsockopt
  0.00    0.000002           0         3           geteuid
  0.00    0.000002           0         5           sched_get_priority_max
  0.00    0.000002           0         6         3 arch_prctl
  0.00    0.000002           0         3           set_tid_address
  0.00    0.000002           2         1           get_mempolicy
  0.00    0.000001           1         1           listen
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getgid
  0.00    0.000001           1         1           getegid
  0.00    0.000001           1         1           getppid
  0.00    0.000001           0         5           sched_get_priority_min
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         5           gettid
  0.00    0.000000           0         6           sched_getaffinity
------ ----------- ----------- --------- --------- -----------------------
100.00    0.304776           8     34196      2902 total
